Date,App_Name,Category,Minutes_Used
2026-07-21,TikTok,Social Media,56
2026-07-21,Instagram,Social Media,169
2026-07-21,Duolingo,Education,25
2026-07-21,X,Social Media,138
2026-07-21,GitHub,Coding,68
2026-07-21,Netflix,Entertainment,18
2026-07-21,VS Code,Coding,83
2026-07-22,YouTube,Entertainment,68
2026-07-22,Instagram,Social Media,86
2026-07-22,Netflix,Entertainment,72
2026-07-22,TikTok,Social Media,180
2026-07-22,Notion,Productivity,50
2026-07-23,X,Social Media,85
2026-07-23,Notion,Productivity,58
2026-07-23,GitHub,Coding,86
2026-07-23,VS Code,Coding,83
2026-07-23,TikTok,Social Media,127
2026-07-24,Duolingo,Education,66
2026-07-24,GitHub,Coding,177
2026-07-24,Netflix,Entertainment,83
2026-07-24,X,Social Media,61
2026-07-24,Instagram,Social Media,126
2026-07-25,GitHub,Coding,152
2026-07-25,Netflix,Entertainment,88
2026-07-25,Notion,Productivity,39
2026-07-25,Duolingo,Education,65
2026-07-25,VS Code,Coding,77
2026-07-26,YouTube,Entertainment,63
2026-07-26,Netflix,Entertainment,50
2026-07-26,Instagram,Social Media,146
2026-07-26,TikTok,Social Media,123
2026-07-26,Notion,Productivity,35
2026-07-27,Duolingo,Education,54
2026-07-27,YouTube,Entertainment,108
2026-07-27,GitHub,Coding,122
2026-07-27,X,Social Media,71
2026-07-27,Instagram,Social Media,148
2026-07-27,TikTok,Social Media,127
2026-07-28,GitHub,Coding,68
2026-07-28,YouTube,Entertainment,118
2026-07-28,Duolingo,Education,40
2026-07-28,X,Social Media,132
2026-07-28,Instagram,Social Media,98
2026-07-28,TikTok,Social Media,46
2026-07-29,Duolingo,Education,76
2026-07-29,YouTube,Entertainment,97
2026-07-29,GitHub,Coding,177
2026-07-29,VS Code,Coding,96
2026-07-29,Notion,Productivity,48
2026-07-30,YouTube,Entertainment,89
2026-07-30,Netflix,Entertainment,66
2026-07-30,Duolingo,Education,43
2026-07-30,VS Code,Coding,116
2026-07-30,GitHub,Coding,95
2026-07-31,VS Code,Coding,100
2026-07-31,TikTok,Social Media,138
2026-07-31,Notion,Productivity,23
2026-07-31,Instagram,Social Media,128
2026-07-31,Duolingo,Education,44
2026-07-31,GitHub,Coding,212
2026-07-31,X,Social Media,149
2026-08-01,Netflix,Entertainment,58
2026-08-01,Instagram,Social Media,58
2026-08-01,Duolingo,Education,38
2026-08-01,Notion,Productivity,70
2026-08-01,VS Code,Coding,100
2026-08-01,X,Social Media,146
2026-08-01,YouTube,Entertainment,15
2026-08-02,Netflix,Entertainment,62
2026-08-02,X,Social Media,71
2026-08-02,GitHub,Coding,198
2026-08-02,Instagram,Social Media,165
2026-08-02,VS Code,Coding,60
2026-08-02,TikTok,Social Media,112
2026-08-02,Duolingo,Education,51
2026-08-03,TikTok,Social Media,44
2026-08-03,Duolingo,Education,35
2026-08-03,Notion,Productivity,87
2026-08-03,X,Social Media,50
2026-08-03,GitHub,Coding,81
